id,latitude,longitude,time,magnitude,mc_current
355,38.50192,-112.88397,2024-04-04 07:28:46.006,-0.46,-1.0
356,38.50163,-112.88384,2024-04-04 07:30:50.789,-0.97,-1.0
357,38.50104,-112.88396,2024-04-04 07:30:57.713,-0.05,-1.0
358,38.5011,-112.88393,2024-04-04 07:31:07.314,-0.39,-1.0
359,38.50154,-112.88382,2024-04-04 07:33:05.428,-0.59,-1.0
360,38.49883,-112.88374,2024-04-04 07:34:38.172,-0.74,-1.0
361,38.50109,-112.88392,2024-04-04 07:36:35.793,-0.87,-1.0
362,38.5014,-112.88404,2024-04-04 07:37:04.016,0.19,-1.0
363,38.50076,-112.88395,2024-04-04 07:37:55.604,0.13,-1.0
364,38.50104,-112.88396,2024-04-04 07:38:25.673,-0.56,-1.0
365,38.5011,-112.88393,2024-04-04 07:39:52.467,-0.37,-1.0
366,38.50154,-112.88382,2024-04-04 07:40:39.939,-0.72,-1.0
